relative_path,filename,extension,size_bytes,kind,family
firmware/v2-v3/survey/5.0.0/Survey_Cartographer_K1_USB_8kib_offset.bin,Survey_Cartographer_K1_USB_8kib_offset.bin,.bin,21592,firmware_binary,v2-v3
firmware/v2-v3/survey/5.0.0/Survey_Cartographer_USB_8kib_offset.bin,Survey_Cartographer_USB_8kib_offset.bin,.bin,20244,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/HT/Survey_Cartographer_CAN_1000000_8kib_offset.bin,Survey_Cartographer_CAN_1000000_8kib_offset.bin,.bin,27984,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/HT/Survey_Cartographer_USB_8kib_offset.bin,Survey_Cartographer_USB_8kib_offset.bin,.bin,28616,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/Survey_Cartographer_CAN_1000000_8kib_offset.bin,Survey_Cartographer_CAN_1000000_8kib_offset.bin,.bin,21788,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/Survey_Cartographer_CAN_250000_8kib_offset.bin,Survey_Cartographer_CAN_250000_8kib_offset.bin,.bin,21792,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/Survey_Cartographer_CAN_500000_8kib_offset.bin,Survey_Cartographer_CAN_500000_8kib_offset.bin,.bin,21792,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/Survey_Cartographer_K1_USB_8kib_offset.bin,Survey_Cartographer_K1_USB_8kib_offset.bin,.bin,22432,firmware_binary,v2-v3
firmware/v2-v3/survey/5.1.0/Survey_Cartographer_USB_8kib_offset.bin,Survey_Cartographer_USB_8kib_offset.bin,.bin,22432,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_CAN_1M_full_8kib_offset.bin,CartographerV3_6.1.0_CAN_1M_full_8kib_offset.bin,.bin,21028,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_CAN_1M_lite_8kib_offset.bin,CartographerV3_6.1.0_CAN_1M_lite_8kib_offset.bin,.bin,21032,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_CAN_250K_full_8kib_offset.bin,CartographerV3_6.1.0_CAN_250K_full_8kib_offset.bin,.bin,21032,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_CAN_250K_lite_8kib_offset.bin,CartographerV3_6.1.0_CAN_250K_lite_8kib_offset.bin,.bin,21032,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_CAN_500K_full_8kib_offset.bin,CartographerV3_6.1.0_CAN_500K_full_8kib_offset.bin,.bin,21028,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_CAN_500K_lite_8kib_offset.bin,CartographerV3_6.1.0_CAN_500K_lite_8kib_offset.bin,.bin,21032,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_USB_full_8kib_offset.bin,CartographerV3_6.1.0_USB_full_8kib_offset.bin,.bin,21096,firmware_binary,v2-v3
firmware/v2-v3/survey/6.1.0/CartographerV3_6.1.0_USB_lite_8kib_offset.bin,CartographerV3_6.1.0_USB_lite_8kib_offset.bin,.bin,21116,firmware_binary,v2-v3
firmware/v4/combined-firmware/5.1.0/Full_Survey_Cartographer_V4_CAN_1M.bin,Full_Survey_Cartographer_V4_CAN_1M.bin,.bin,35228,firmware_binary,v4
firmware/v4/combined-firmware/5.1.0/Full_Survey_Cartographer_V4_USB.bin,Full_Survey_Cartographer_V4_USB.bin,.bin,35904,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__CAN_1M.bin,Katapult_plus_CartographerV4_6.0.0__CAN_1M.bin,.bin,35428,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__CAN_1M_lite.bin,Katapult_plus_CartographerV4_6.0.0__CAN_1M_lite.bin,.bin,35436,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__CAN_250K.bin,Katapult_plus_CartographerV4_6.0.0__CAN_250K.bin,.bin,35432,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__CAN_250K_lite.bin,Katapult_plus_CartographerV4_6.0.0__CAN_250K_lite.bin,.bin,35436,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__CAN_500K.bin,Katapult_plus_CartographerV4_6.0.0__CAN_500K.bin,.bin,35432,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__CAN_500K_lite.bin,Katapult_plus_CartographerV4_6.0.0__CAN_500K_lite.bin,.bin,35436,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__USB.bin,Katapult_plus_CartographerV4_6.0.0__USB.bin,.bin,35980,firmware_binary,v4
firmware/v4/combined-firmware/6.0.0/Katapult_plus_CartographerV4_6.0.0__USB_lite.bin,Katapult_plus_CartographerV4_6.0.0__USB_lite.bin,.bin,35984,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_CAN_1M.bin,Katapult_plus_CartographerV4_6.1.0_CAN_1M.bin,.bin,41200,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_CAN_1M_lite.bin,Katapult_plus_CartographerV4_6.1.0_CAN_1M_lite.bin,.bin,41200,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_CAN_250K.bin,Katapult_plus_CartographerV4_6.1.0_CAN_250K.bin,.bin,41200,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_CAN_250K_lite.bin,Katapult_plus_CartographerV4_6.1.0_CAN_250K_lite.bin,.bin,41208,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_CAN_500K.bin,Katapult_plus_CartographerV4_6.1.0_CAN_500K.bin,.bin,41200,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_CAN_500K_lite.bin,Katapult_plus_CartographerV4_6.1.0_CAN_500K_lite.bin,.bin,41208,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_USB.bin,Katapult_plus_CartographerV4_6.1.0_USB.bin,.bin,42072,firmware_binary,v4
firmware/v4/combined-firmware/6.1.0/Katapult_plus_CartographerV4_6.1.0_USB_lite.bin,Katapult_plus_CartographerV4_6.1.0_USB_lite.bin,.bin,42072,firmware_binary,v4
firmware/v4/firmware/5.1.0/Cartographer_V4_CAN_1M_8kib_offset.bin,Cartographer_V4_CAN_1M_8kib_offset.bin,.bin,27036,firmware_binary,v4
firmware/v4/firmware/5.1.0/Cartographer_V4_CAN_250K_8kib_offset.bin,Cartographer_V4_CAN_250K_8kib_offset.bin,.bin,27020,firmware_binary,v4
firmware/v4/firmware/5.1.0/Cartographer_V4_CAN_500K_8kib_offset.bin,Cartographer_V4_CAN_500K_8kib_offset.bin,.bin,27036,firmware_binary,v4
firmware/v4/firmware/5.1.0/Cartographer_V4_USB_8kib_offset.bin,Cartographer_V4_USB_8kib_offset.bin,.bin,27712,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_CAN_1M_full_8kib_offset.bin,CartographerV4_6.0.0_CAN_1M_full_8kib_offset.bin,.bin,27236,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_CAN_1M_lite_8kib_offset.bin,CartographerV4_6.0.0_CAN_1M_lite_8kib_offset.bin,.bin,27244,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_CAN_250K_full_8kib_offset.bin,CartographerV4_6.0.0_CAN_250K_full_8kib_offset.bin,.bin,27240,firmware_binary,v4
firmware/v4/firmware/6.0.0/CartographerV4_6.0.0_CAN_250K_lite_8kib_offset.bin,CartographerV4_6.0.0_CAN_250K_lite_8kib_offset.bin,.bin,27244,firmware_binary,v4
